employee_id,name,department,compensation,age,years_exp,join_date,performance_rating
EMP0000,Employee 0,Engineering,110530.0,55,12,2014-11-01,B
EMP0001,Employee 1,Marketing,,30,17,2021-09-01,B
EMP0002,Employee 2,Operations,85704.0,47,32,2022-07-01,
EMP0003,Employee 3,Sales,88116.0,23,15,2016-12-01,D
EMP0004,Employee 4,Finance,72865.0,30,1,2016-02-01,A
EMP0005,Employee 5,HR,75803.0,30,34,2020-09-01,B
EMP0006,Employee 6,Operations,94777.0,61,33,2018-10-01,C
EMP0007,Employee 7,Sales,,38,29,2012-05-01,A
EMP0008,Employee 8,Operations,42857.0,22,12,2011-05-01,
EMP0009,Employee 9,Operations,69867.0,46,12,2011-09-01,
EMP0010,Employee 10,Sales,,61,17,2024-04-01,D
EMP0011,Employee 11,Finance,93589.0,46,31,2022-03-01,
EMP0012,Employee 12,Marketing,58365.0,60,31,2018-06-01,A
EMP0013,Employee 13,Operations,77502.0,56,34,2016-10-01,B
EMP0014,Employee 14,Finance,80840.0,24,28,2020-11-01,B
EMP0015,Employee 15,Sales,,142,28,2020-11-01,D
EMP0016,Employee 16,Engineering,,51,15,2011-05-01,
EMP0017,Employee 17,Engineering,,59,9,2021-07-01,A
EMP0018,Employee 18,Sales,76350.0,55,29,2021-04-01,B
EMP0019,Employee 19,Engineering,94013.0,33,24,2010-04-01,C
EMP0020,Employee 20,Marketing,50509.0,40,19,2011-07-01,A
EMP0021,Employee 21,Operations,70181.0,58,4,2011-08-01,A
EMP0022,Employee 22,Finance,73582.0,38,0,2019-10-01,B
EMP0023,Employee 23,HR,102788.0,31,29,2010-05-01,D
EMP0024,Employee 24,Finance,53668.0,33,2,2020-12-01,C
EMP0025,Employee 25,HR,,37,13,2020-12-01,
EMP0026,Employee 26,Sales,87077.0,45,29,2012-02-01,A
EMP0027,Employee 27,Sales,126099.0,40,3,2010-12-01,A
EMP0028,Employee 28,HR,,29,17,2012-12-01,B
EMP0029,Employee 29,Operations,61597.0,52,24,2010-03-01,D
EMP0030,Employee 30,Engineering,53754.0,42,0,2017-06-01,A
EMP0031,Employee 31,Sales,33246.0,38,14,2018-09-01,A
EMP0032,Employee 32,Marketing,129411.0,44,8,2022-12-01,D
EMP0033,Employee 33,Marketing,,58,14,2014-03-01,B
EMP0034,Employee 34,Marketing,57143.0,37,23,2015-03-01,B
EMP0035,Employee 35,Operations,116841.0,27,3,2021-05-01,C
EMP0036,Employee 36,Marketing,30913.0,29,11,2021-02-01,C
EMP0037,Employee 37,HR,101178.0,46,5,2022-01-01,C
EMP0038,Employee 38,Operations,40435.0,39,23,2015-07-01,D
EMP0039,Employee 39,Engineering,114907.0,46,10,2014-09-01,C
EMP0040,Employee 40,Operations,19243.0,33,12,2011-05-01,C
EMP0041,Employee 41,HR,30903.0,36,33,2021-10-01,D
EMP0042,Employee 42,Sales,64742.0,47,24,2020-02-01,
EMP0043,Employee 43,Marketing,107211.0,47,6,2017-08-01,B
EMP0044,Employee 44,Marketing,79133.0,53,3,2018-06-01,A
EMP0045,Employee 45,Marketing,70600.0,31,7,2010-08-01,B
EMP0046,Employee 46,Sales,117689.0,37,19,2023-10-01,B
EMP0047,Employee 47,Operations,,28,28,2012-06-01,A
EMP0048,Employee 48,Finance,98823.0,38,9,2012-05-01,B
EMP0049,Employee 49,HR,62560.0,44,33,2022-02-01,A
EMP0050,Employee 50,Operations,68292.0,47,25,2024-10-01,B
EMP0051,Employee 51,Engineering,,42,2,2020-12-01,D
EMP0052,Employee 52,Sales,82823.0,43,5,2011-04-01,D
EMP0053,Employee 53,Finance,34371.0,28,4,2021-09-01,C
EMP0054,Employee 54,Finance,95452.0,35,4,2010-01-01,D
EMP0055,Employee 55,Engineering,136156.0,36,22,2023-01-01,A
EMP0056,Employee 56,Sales,100093.0,28,8,2013-01-01,
EMP0057,Employee 57,Finance,66864.0,30,34,2017-06-01,B
EMP0058,Employee 58,Operations,94754.0,29,19,2016-03-01,D
EMP0059,Employee 59,Marketing,125375.0,44,34,2012-01-01,C
EMP0060,Employee 60,Engineering,123974.0,50,17,2018-12-01,D
EMP0061,Employee 61,Marketing,51895.0,39,16,2021-11-01,C
EMP0062,Employee 62,Engineering,94288.0,52,23,2016-04-01,A
EMP0063,Employee 63,HR,75573.0,51,2,2015-04-01,A
EMP0064,Employee 64,HR,102585.0,60,31,2016-12-01,B
EMP0065,Employee 65,Sales,90741.0,56,34,2015-05-01,C
EMP0066,Employee 66,Finance,13648.0,39,12,2023-02-01,A
EMP0067,Employee 67,Marketing,70256.0,60,24,2019-06-01,B
EMP0068,Employee 68,Finance,85560.0,38,8,2011-09-01,C
EMP0069,Employee 69,HR,39838.0,35,3,2020-01-01,B
EMP0070,Employee 70,Marketing,96269.0,52,13,2012-04-01,A
EMP0071,Employee 71,Operations,37328.0,45,33,2022-09-01,B
EMP0072,Employee 72,Sales,57644.0,56,10,2010-07-01,C
EMP0073,Employee 73,Finance,117557.0,55,2,2011-08-01,D
EMP0074,Employee 74,Engineering,,24,27,2023-05-01,A
EMP0075,Employee 75,Engineering,96071.0,58,28,2022-05-01,C
EMP0076,Employee 76,Marketing,30900.0,61,8,2015-02-01,C
EMP0077,Employee 77,Engineering,138277.0,47,2,2018-08-01,B
EMP0078,Employee 78,Engineering,71472.0,44,24,2010-06-01,A
EMP0079,Employee 79,HR,82669.0,60,33,2013-05-01,D
EMP0080,Employee 80,Sales,85013.0,36,11,2019-05-01,D
EMP0081,Employee 81,Engineering,97012.0,25,8,2021-10-01,B
EMP0082,Employee 82,Engineering,37463.0,50,14,2013-08-01,A
EMP0083,Employee 83,Finance,79851.0,43,24,2015-10-01,D
EMP0084,Employee 84,Marketing,61554.0,46,4,2017-04-01,A
